Vardas                Pavarde                    ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9    ND10    ND11    ND12    ND13    ND14    ND15    Egz.
Vardas1               Pavarde1                     8       3       9       8       2       7       1      10       8       1       1       1       1       5       6       3
Vardas2               Pavarde2                     2       5       6      10       2      10       7       7      10       6      10       7       5       3       2       6
Vardas3               Pavarde3                     8       7       1       5       9       3       3       9       1       9       7      10       8       7       2       7
Vardas4               Pavarde4                    10       4       3       1       3       2       4       3       7       9       6       6       7       7       1       7
Vardas5               Pavarde5                     1       3       3       3       1       5       6       4       7       5       7       8       4       4       2       2
Vardas6               Pavarde6                     2       7       1       4       6       2       7       9       8       6       3       7       6       7       6       2
Vardas7               Pavarde7                    10       1       3       3       5       5      10       2       7       5      10       3       7       6       4       3
Vardas8               Pavarde8                     8       2       7       1       9       4       3       4      10       2       7       8       8      10       3       2
Vardas9               Pavarde9                     6       4       3       2       2       4       6       7       9       6       7      10      10       5       9       1
Vardas10              Pavarde10                    7       3       7      10       8       4       7       1       2       8       3       7       4       3       5       5
Vardas11              Pavarde11                    6       5       1       7       5       2       4       7      10       7       3       5       1       4       6       3
Vardas12              Pavarde12                    7       6       2       6       8       4       1       7       9       8       4      10       7       3       9       1
Vardas13              Pavarde13                    7       4       2      10       4       9       6       1       3       9       1       1       7       2       1       5
Vardas14              Pavarde14                    5       6       2       7       4       6       1       6       1       1       6       8      10       3       3       8
Vardas15              Pavarde15                    5       5       7       3       5       3       9       2       6       1       6       7       5       8       3       6
Vardas16              Pavarde16                    1       8      10      10       1       9       4       8       1       3       2       8       2      10       5       4
Vardas17              Pavarde17                    5       6       3       3      10       1       4       1       4       3       5       2       7       9      10       1
Vardas18              Pavarde18                    9      10       7       4       7       4       8       6       7       6       7       3       1       8      10       4
Vardas19              Pavarde19                    7       6       1      10       9       1       4       7       1      10       7       8      10       8       5       1
Vardas20              Pavarde20                    4       5       8       6       7       9       5      10       1       4       4       4       2       6       3      10
Vardas21              Pavarde21                    9       3       1       8       4       1       7       7       9       6      10       5       5       1       5       4
Vardas22              Pavarde22                   10       4       2       7       4       2       3       1       3      10       5       6       7       9       5       6
Vardas23              Pavarde23                   10      10       5       8       3       3       4       4       6       6       3       3       6      10       3       3
Vardas24              Pavarde24                    7       8       8       7      10       1       1       3       7       3       9       9       7       2       7       1
Vardas25              Pavarde25                    2      10      10       7       7       3       9       7       9       2       4       9       3       8      10       8
Vardas26              Pavarde26                    5       5       6       3       4       5       1      10       1       8       2       1       3       2       9       8
Vardas27              Pavarde27                    8       2       2       8       5       4      10       3      10      10       2       2       5       4       7       7
Vardas28              Pavarde28                    1       3       5       6       5       8       7       4       1       8       6       7       4       7       5       3
Vardas29              Pavarde29                    7       2       3      10       8       5       3       4      10      10       3       4       4       3       6       7
Vardas30              Pavarde30                    5       9       2       7       5       5       8       1       3       8       2      10       3       2       4       9
Vardas31              Pavarde31                    9       9       3       9       5       9       5       7       5       4       1       6      10       3       5       6
Vardas32              Pavarde32                    5       6       6       2       9       8       4       5       7       9       5       8       9       7       1       2
Vardas33              Pavarde33                    4       1       1       4       9       8      10       5       1       5      10       3       6       8       5       1
Vardas34              Pavarde34                    4       1       4      10       2       1       7       7       1       4       4       5       6       1       4       4
Vardas35              Pavarde35                    8       1       7       2      10       7       5       4       4       6       9       4       4       6       1      10
Vardas36              Pavarde36                    4       4       1      10      10       6       6       2       5       2       1      10      10       9      10       7
Vardas37              Pavarde37                    2       8      10       9       8       2       2       4       9       3       2       7       5       7       2       1
Vardas38              Pavarde38                    4       1      10       2       7       3       6       4       9       3       6       1       6       3       4       1
Vardas39              Pavarde39                    4       5      10       7       6       6       7       4       7      10       4      10       2       2       6       7
Vardas40              Pavarde40                   10       4       5       2       3       5       4       6       9       9       9       5       1       3       8       7
Vardas41              Pavarde41                    9       6       4       1       9       6       2       9       4       4       1       1       4       1       1       9
Vardas42              Pavarde42                    5       2       2       9       5      10       7       3       9       5      10       1       5       3       5       7
Vardas43              Pavarde43                    9       5       2       5       3       8       2       1       4       8      10       7       9       8      10       7
Vardas44              Pavarde44                    9      10      10       5       7       8       1       3       7       7       1      10       2       5       2      10
Vardas45              Pavarde45                    5       1      10      10       7       3       7       2       4       2      10       6       1       4       7       1
Vardas46              Pavarde46                    3       9       6       3       5      10       5       5       7       1       4      10       5       5       4       4
Vardas47              Pavarde47                   10       6       1       7       5       5       2       9       6       6       4       9       4       5       3       6
Vardas48              Pavarde48                    5       2       2       4       8       2       2       8       8       1       5      10      10       2       6       6
Vardas49              Pavarde49                    7       2       9       5       1       9       2       3       8       7       9       7       3       7       2       9
Vardas50              Pavarde50                    6      10       5       9       8       7       9       5       5       2       7       7       6       3       4       2
Vardas51              Pavarde51                    9      10       8       9       9       5      10      10       2       6       4       4      10       1       1      10
Vardas52              Pavarde52                    8       9       3       1       9       8       3       8       3       6       8       9       1       6       6       6
Vardas53              Pavarde53                    6       6       1       8       4      10       1       3       6       4       7       4       5       8       7       3
Vardas54              Pavarde54                    1       3       4      10       7      10       5       7      10       7       6      10       3       9       4       7
Vardas55              Pavarde55                    1       8       1       6       6       5       8       4       9       2       1       6       1       9       6       4
Vardas56              Pavarde56                    8       8       8       4       1       2       9       8       2       9       1       9       3       2       9      10
Vardas57              Pavarde57                    7       4       5       1       7       1       8       2       9       3       1       1       5      10       1       7
Vardas58              Pavarde58                    5       8       9       7       7      10       3       2       8       9       1       9       5       3      10       2
Vardas59              Pavarde59                    7       2       1      10       3       8       5       9      10       3      10       3       6       1       5       1
Vardas60              Pavarde60                    4       7       8       8       3       5       6       5       9      10       2       3       2       5       1       9
Vardas61              Pavarde61                    2       4       5       2       3       3       6       5       8       2       3       3       9      10       9       8
Vardas62              Pavarde62                    5       6       9       4       5       8       5      10       3       4       6       9       6       9       8       5
Vardas63              Pavarde63                   10       4       3      10       3       9       2       9       1       4       4       2       6       2       6       4
Vardas64              Pavarde64                    7       7       3      10       3       9       3       6       6       8       5       1       5      10       2       7
Vardas65              Pavarde65                    5       9       5       8       6      10      10       4       1       3       1       1      10      10      10       3
Vardas66              Pavarde66                    9      10       3       1      10       7       6       2       8       6      10       7       8       6       3       7
Vardas67              Pavarde67                    4       8       5       5       5       7       4       8       6       6       7       9       4       8       3       4
Vardas68              Pavarde68                    2       8       4       2       6       2       4       5       3       3       5       3       7       8       6       4
Vardas69              Pavarde69                    6       5       6       6       5       9       4       1       6       8       8       8       4      10       6       7
Vardas70              Pavarde70                    3       4       5       1      10       8       4       9      10       2      10      10       9       1       8       3
Vardas71              Pavarde71                    1       2       8       1       3       1       7       2       9       3       6       6       2       3       3       3
Vardas72              Pavarde72                    1       9       3       6       1      10       4       8       1       6       3       5       4       8       6       9
Vardas73              Pavarde73                    4       1      10       8       9       2       2       2       7       2       7       1       9       1       5       4
Vardas74              Pavarde74                    6       8       8       8       2       7       3       7       2      10       6       7       5       1       7      10
Vardas75              Pavarde75                   10       1       8       1       2       9       4       5       3       7       4       8       9       6      10       4
Vardas76              Pavarde76                    1       4       4       3       5       1       5       5       2      10      10       7      10       2       6       9
Vardas77              Pavarde77                    1       3       7       9       3      10       2       1       1       8       7       7       5       9       1       8
Vardas78              Pavarde78                    1       4       5       1       5       3       2       3       6       2       6       4       1       1       7       5
Vardas79              Pavarde79                    8       6       2       7       1       9       4       8       9       2       7      10       3      10      10       7
Vardas80              Pavarde80                    5       3       3       4       6       7       2       4       6       2       7       8       7      10       2       6
Vardas81              Pavarde81                    7       5       6       4       6       6       2       2       6       1       4       2      10       2       5       2
Vardas82              Pavarde82                    7       8       4       3      10      10       6      10       6       8       5       5       3       8       4      10
Vardas83              Pavarde83                    1       3       8       1       3       9      10      10       2       7       3       7      10       4       2       4
Vardas84              Pavarde84                   10       5      10      10       8       4       7       6       8       9       7       5       2       6       1       1
Vardas85              Pavarde85                    2       7       4       4       9       6       6       1       3       7       8       7       7       9       4       8
Vardas86              Pavarde86                    5       5       3      10       6       8       3       3       4       8       6       5       2       5       6       6
Vardas87              Pavarde87                    8       6       9       3       6      10       9       2      10       4       2       3       3       4       6       3
Vardas88              Pavarde88                    6       5       3       1       3       9       2       5       2       1       5       4       9       4      10       5
Vardas89              Pavarde89                    8       4       1       7       7       8       3       1       3       3       5       7       8      10       8       7
Vardas90              Pavarde90                    5       8       9       4       6       3       9       3       2       7       3      10       5      10       4       8
Vardas91              Pavarde91                    8       7       1       1       7       3       3       7       4       7       6      10       5       1       1       5
Vardas92              Pavarde92                    8       4       4       1       7       8       2       3      10       3       9      10       6       9       4       4
Vardas93              Pavarde93                    8       6       7       5       8       5       7       7       2       6       2       9       5       6       7       7
Vardas94              Pavarde94                    9       2       7       4       5       6       9       8      10       7       3       6       9       8      10       5
Vardas95              Pavarde95                    3       7       4       3       5       1       6       1       1      10       1       7      10      10       9       3
Vardas96              Pavarde96                    4       4       5      10       2       5       6       6       2       4       8       3      10       5       4       9
Vardas97              Pavarde97                   10       3      10       9       2       6       5       1       3      10      10       6       2       6       6       4
Vardas98              Pavarde98                    1       8       2       1       1       9       7       5       4      10       7       4       4       5       7       4
Vardas99              Pavarde99                    4       6       2      10       5       5       5       2       9       2       8       2       1       6      10       8
Vardas100             Pavarde100                  10       5       3       4       1       5       7       2       1       4       4       4       5       8       8       6
Vardas101             Pavarde101                   8       8       8       9       1       1       3       5       7       6       4       6       2       5       9       7
Vardas102             Pavarde102                   2       7       7       5       8       6       6       6       6       7       4      10       4       9       7       7
Vardas103             Pavarde103                   9       6       3       9       9       2       6       1      10       1       9      10       3       2       6       9
Vardas104             Pavarde104                   5       3       7       8      10       6       6       3       8       7       7       6       5       1       9       8
Vardas105             Pavarde105                   7       7       9       2       2       4       9      10       5       3       2       5       2       7       1       1
Vardas106             Pavarde106                   5      10       8      10       3       1       8       4       1       6       4       3       8       2       4       5
Vardas107             Pavarde107                   7      10       8       7       8       2       8       1       8       4       6       9       6       7       5       1
Vardas108             Pavarde108                   2       6       2       9       7       5       8       8      10       1       2       5       5      10      10       9
Vardas109             Pavarde109                   4       9       6       5       1       5       2       5       6       7      10       3      10       8       7       7
Vardas110             Pavarde110                   7       7       7       8       3       4       9       8       1       8       2       6       7       3       4       6
Vardas111             Pavarde111                   6       2       4       7      10       4       8       6       1       9       6       2       7       9       6       9
Vardas112             Pavarde112                   6      10       9       7       1       3      10       9      10       5       1       7      10       8      10       9
Vardas113             Pavarde113                   8       2       7       1       3       2       3       2       8       7       9       1       3      10       4       6
Vardas114             Pavarde114                   4       2       4       9       6       1       4      10       3       2       3       8       9       5       1       7
Vardas115             Pavarde115                   5       2       6       3       4       2       7       6       2       8      10       2       1       4       1       2
Vardas116             Pavarde116                   8      10      10       3       2       9       9       1       2       5      10      10       6       6       9       9
Vardas117             Pavarde117                   4       4       9       4       4      10       3       8       4       7       6       3       5       4       4       9
Vardas118             Pavarde118                   2       5       1       3       8       4       5       3       5       5       5       6       2       2       1       9
Vardas119             Pavarde119                   4       8      10       9       6       1       8       6       4       1      10       6       1       9       3       2
Vardas120             Pavarde120                   5       3       2       7       2       4       4      10       6      10       5       5       8       9       4       9
Vardas121             Pavarde121                   5       2       4       6       3       1       5       4       5       3       7       6       1       1       6       3
Vardas122             Pavarde122                   4       2       5       3       5       9      10      10       9       3      10       3      10      10       7       8
Vardas123             Pavarde123                   9       1       7       7       7      10       9       1       3       1       3       4       2       9       7       7
Vardas124             Pavarde124                   1       4       7       9      10       3       1       7      10       3       3       3      10       6       1       9
